D:\PP_lab2\PP_lab2\dataset\bayhorse\0000.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0001.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0002.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0003.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0004.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0005.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0006.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0007.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0008.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0009.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0010.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0011.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0012.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0013.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0014.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0015.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0016.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0017.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0018.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0019.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0020.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0021.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0022.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0023.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0024.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0025.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0026.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0027.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0028.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0029.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0030.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0031.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0032.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0033.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0034.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0035.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0036.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0037.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0038.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0039.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0040.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0041.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0042.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0043.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0044.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0045.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0046.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0047.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0048.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0049.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0050.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0051.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0052.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0053.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0054.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0055.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0056.jpg bayhorse
D:\PP_lab2\PP_lab2\dataset\bayhorse\0057.jpg bayhorse
